Sub,eta1,eta2,beta1,beta2,lambda,w,p,LL,RT1,RT2
1,0.091224999,0.062185335,3.566135159,5.342152032,0.999999,1.00E-06,0.154366066,236.300116,689.4179104,959.4874372
2,0.901407387,0.844914953,6.23030709,1.620782717,0.559468408,0.394888879,0.095201853,197.2617655,848.2020202,1007.90625
3,0.776207797,0.54901067,10.0249384,5.835628028,0.418404517,0.391136744,0.062778014,135.8175518,730.1044776,946.055
4,0.508240345,0.694624504,4.136963316,2.898913242,0.893037322,0.36879226,0.107509746,205.1684868,746.8358209,871.8457711
5,0.58129085,0.438219291,5.152156716,5.021648815,0.999999,0.125298415,0.2126617,148.677581,725.605,895.83
6,0.452351018,0.438858137,9.366618355,2.076744484,0.397972842,0.862564807,0.021118124,224.6641914,750.8,952.8484848
7,0.583533298,0.106245129,1.149603926,3.106401522,0.677612614,1.00E-06,-0.140874107,268.3336562,514.1691542,707.28
8,0.502356803,0.071735777,15.04012612,2.02153023,0.103351704,0.804912371,0.012525292,252.8003238,770.98,773.605
9,0.919202602,0.999999,0.953365282,0.262364473,0.999999,1.00E-06,-0.081003886,267.6403161,739.93,739.2512563
10,0.496854033,0.749504402,3.396981183,3.29922799,0.715703859,0.370420894,0.170901923,218.0226222,883.4328358,948.28
11,0.999999,0.420040296,5.376159669,3.693594286,0.443242799,0.545986589,0.297166741,174.8580889,666.14,864.2613065
12,0.266646765,0.289082642,7.163951729,4.242114004,0.407947509,0.306072808,0.167362975,186.5799011,695.3930348,958.215
13,0.855146076,0.391484564,5.193762714,3.557803647,0.399789197,0.333913392,0.212686478,189.7145881,586.7,812.64
14,0.213534615,0.281092177,2.563133941,8.20018514,0.999999,1.00E-06,0.440629936,141.6430408,942.8080808,887.742268
15,0.942331515,0.870257219,8.247930138,4.857690996,0.417886011,0.731757649,0.088823441,174.2630548,823.7512438,849.9850746
16,0.999999,0.157830909,3.001250444,4.990167689,0.484984148,0.514180693,0.141347657,217.1435875,695.785,935.5
17,0.436276959,0.22973605,5.958062162,7.759800122,0.826652387,0.445536453,0.29988519,119.2087435,745.5124378,1081.351759
