sub,trial,ch1,ch2,st,mn,iti,rt1,rt2,flip1,flip2
1,1,1,2,2,0,NaN,1300,1427,1,1
1,2,1,1,2,1,1199,1336,1192,1,1
1,3,1,0,2,0,570,755,NaN,1,1
1,4,1,1,3,0,NaN,677,1517,1,1
1,5,2,2,3,0,3899,1093,1279,0,1
1,6,2,2,3,1,2550,743,1737,0,0
1,7,2,1,3,1,2460,726,912,0,1
1,8,2,1,3,1,2910,505,1081,0,0
1,9,2,1,3,1,4800,930,980,0,1
1,10,2,1,3,0,3720,706,865,1,0
1,11,1,2,2,1,2730,591,1442,0,1
1,12,1,1,2,0,1111,690,988,1,1
1,13,1,2,2,0,1469,806,1572,1,0
1,14,2,1,3,0,1740,1084,1055,1,1
1,15,1,1,2,1,2100,915,882,1,0
1,16,1,2,2,0,2100,1144,1132,1,0
1,17,2,2,2,1,2370,1115,1647,1,1
1,18,2,1,3,0,1109,711,1108,1,1
1,19,2,2,3,1,4170,574,1201,1,1
1,20,2,2,3,1,3540,874,620,0,1
1,21,2,1,2,0,4890,697,1487,1,0
1,22,2,2,3,0,4260,648,982,1,1
1,23,1,2,2,1,2550,549,1183,1,1
1,24,2,2,2,0,3540,738,743,1,1
1,25,1,2,2,0,2731,716,780,1,0
1,26,2,1,3,0,1649,428,889,1,0
1,27,2,2,3,0,3901,598,886,0,1
1,28,2,1,3,1,4980,648,1035,0,0
1,29,2,1,3,1,3270,802,748,1,1
1,30,2,1,3,0,2730,869,1035,1,0
1,31,1,2,2,1,2731,1120,1629,0,1
1,32,2,1,3,0,3269,713,1200,0,0
1,33,2,2,3,1,2731,599,782,0,1
1,34,2,2,3,0,3271,824,921,0,1
1,35,2,2,3,1,4081,514,1064,1,0
1,36,2,2,3,0,4080,584,644,1,0
1,37,2,2,3,1,2280,619,1052,1,0
1,38,2,2,3,0,3630,661,850,0,0
1,39,2,2,3,0,3450,728,674,0,0
1,40,1,2,2,1,3540,338,1450,0,0
1,41,1,2,2,0,1741,842,780,0,1
1,42,1,1,2,1,2279,490,939,0,1
1,43,1,1,2,0,2460,966,905,1,1
1,44,1,2,2,0,3810,555,855,0,1
1,45,2,2,3,0,4260,803,994,1,0
1,46,2,2,2,1,1650,884,1052,1,0
1,47,2,2,3,1,3450,859,1254,0,0
1,48,2,2,3,0,4351,540,1077,1,0
1,49,1,2,2,1,4349,697,726,0,0
1,50,2,2,2,1,3899,606,1288,1,1
1,51,1,2,2,1,3810,1126,792,1,0
1,52,2,1,3,0,1290,714,1230,1,1
1,53,1,2,3,1,3000,706,1876,0,1
1,54,1,2,2,1,1649,829,1026,1,1
1,55,1,2,2,0,3809,749,878,0,0
1,56,2,2,2,0,4439,1064,1370,1,1
1,57,1,1,2,0,3089,917,1106,1,1
1,58,1,2,2,0,1470,453,621,0,1
1,59,1,2,2,0,2460,406,522,0,1
1,60,2,2,3,0,3899,570,1115,0,0
1,61,2,1,3,1,2731,621,897,1,0
1,62,2,2,3,1,4800,819,1354,0,1
1,63,1,2,2,0,3090,827,760,0,1
1,64,2,2,3,1,2280,717,1337,1,1
1,65,2,2,3,0,2460,602,820,1,0
1,66,2,1,3,0,1740,600,848,1,1
1,67,1,2,2,0,2100,571,1008,0,0
1,68,1,2,3,0,NaN,1017,1064,1,0
1,69,2,1,3,0,4350,541,1199,1,1
1,70,2,1,3,0,4080,776,1075,0,0
1,71,2,2,2,0,4259,657,1208,0,1
1,72,2,1,3,0,3810,597,1389,0,0
1,73,2,2,3,0,1200,648,502,1,0
1,74,1,2,2,1,3811,488,864,1,0
1,75,1,2,2,1,3991,542,720,1,1
1,76,1,2,2,1,3990,533,552,1,0
1,77,1,2,3,0,2370,527,1215,1,0
1,78,1,1,3,0,2911,599,1333,0,1
1,79,1,2,3,0,4531,633,1425,1,1
1,80,2,1,3,0,2909,664,887,1,1
1,81,1,2,2,1,3720,621,855,0,1
1,82,1,2,3,1,2370,603,1160,0,0
1,83,2,2,3,0,3900,740,1125,0,1
